@relation dwt_64_ert

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
29,195.82475,214.01375,206.670938,-227.9055,-208.545,-219.976875,-184.888,-136.47475,-158.23375,69.398288,25.136097,11.080597,-93.45725,-28.05175,-63.006688,215.03975,300.976,243.194313,33.596383,1
30,198.31525,227.5635,217.34,-239.575,-212.9635,-230.688438,-176.87975,-130.68875,-152.795625,67.361467,26.292791,11.417548,-127.92975,-53.5885,-89.215125,202.61125,288.087,253.845188,36.650467,1
31,192.554,241.504,207.812563,-253.78425,-205.1515,-220.752,-183.2025,-113.159,-142.279,65.531474,27.078774,11.734045,-153.003,-74.56075,-118.738063,223.73,300.099,265.777813,38.342312,1
32,162.9395,216.8945,193.286125,-230.46825,-177.002,-206.225438,-168.677,-112.81775,-142.364813,61.284591,25.849844,11.424869,-188.452,-128.88225,-150.354,249.95225,304.05275,269.677375,35.541237,1
33,142.52925,210.74175,170.764063,-224.95125,-156.12825,-185.559313,-140.576,-114.1115,-130.334438,65.324646,26.114477,11.610497,-208.35025,-142.04075,-170.916938,248.317,326.782,290.466438,34.299677,1
34,125.635,160.37575,148.413063,-171.191,-141.284,-162.268063,-149.2925,-96.75325,-123.187438,59.316359,26.513889,10.72064,-237.2315,-180.66425,-211.163375,279.0535,332.30075,300.951563,33.274577,1
35,153.98,188.25675,172.546438,-201.09825,-167.40725,-185.559,-167.82225,-107.8855,-131.384125,62.079026,26.808134,10.493915,-307.838,-232.44475,-267.425375,224.0715,290.5275,258.556188,35.903436,1
36,142.70025,186.7185,172.589,-198.9745,-157.29975,-186.657875,-138.5495,-108.61825,-128.3995,67.36182,26.575265,11.083355,-341.748,-275.17025,-300.31125,240.59975,326.7315,273.675125,30.731407,1
37,132.471,161.88925,152.197438,-174.805,-147.3145,-165.51525,-159.204,-105.6155,-125.750813,64.288734,26.540505,10.764409,-341.652,-297.243,-323.243813,238.47625,320.5345,283.855688,36.165746,1
38,137.3535,163.7695,149.63375,-178.71125,-150.952,-164.2885,-133.0565,-75.4385,-103.967188,69.570822,26.960453,11.822997,-348.14375,-305.348,-327.71475,272.557,308.39875,291.84575,38.322413,1
39,130.41925,161.67,146.862688,-176.1475,-145.72725,-161.5905,-124.21875,-81.44525,-104.541,70.054129,27.928328,11.585665,-344.62825,-287.64675,-319.812,275.7815,360.568,310.11925,36.457421,1
40,128.589,158.66675,149.798563,-173.02275,-142.62675,-164.074813,-127.6365,-73.73,-103.21625,61.975788,25.912862,11.898823,-321.0215,-277.7615,-298.853375,279.44475,325.071,306.866,34.708152,1
41,158.667,175.75675,167.645313,-191.28425,-174.853,-182.59275,-89.014,-61.5965,-73.986813,58.936643,26.428307,10.991433,-275.147,-225.098,-249.292,269.579,334.4475,305.321875,33.608212,1
42,134.7655,174.97575,158.38625,-190.06375,-148.2665,-171.874938,-102.588,-52.56325,-76.825063,58.833759,26.547396,10.521274,-285.0125,-180.59075,-221.741313,258.495,328.07275,295.861063,35.640109,1
43,156.543,176.75775,168.365438,-190.796,-172.583,-182.427938,-88.86675,-46.0695,-70.6175,65.600064,28.121979,10.805995,-172.63225,-119.6285,-156.25,226.92875,326.462,281.298313,34.215641,1
44,148.60825,184.4725,175.109813,-199.7065,-162.18225,-188.62275,-83.4715,-31.86025,-61.205875,68.086605,26.304895,11.441359,-139.91675,-69.36,-108.190813,275.68175,332.08,300.51925,34.346766,1
45,157.73975,195.87425,176.5505,-211.23025,-171.85075,-191.094875,-73.169,-28.6865,-49.340875,70.538498,25.828824,11.241507,-121.19075,-91.08875,-104.815688,233.715,265.99425,249.085188,33.399012,1
46,151.855,183.1785,165.990938,-198.12,-166.30875,-180.120875,-73.60825,-12.329,-41.351188,68.018015,27.005178,11.90403,-153.68675,-81.8845,-117.797813,216.28275,331.14875,269.133938,36.067188,1
0,201.56275,252.3195,223.107875,-269.55525,-218.70175,-239.452938,45.117,100.58625,71.929938,70.710678,27.987283,10.958703,230.51775,318.993,267.59,39.7705,133.39775,89.391938,36.960898,1
1,191.38225,231.59175,218.768625,-247.46075,-207.91025,-235.35775,63.35475,114.62425,83.905125,71.470111,25.069084,11.802583,239.2335,306.93225,277.771375,66.08825,134.76525,101.03125,31.862765,1
2,197.99775,222.28975,209.57025,-237.03575,-214.038,-225.329625,73.85225,116.0885,88.000313,70.158074,26.781735,11.493535,270.288,292.4795,277.753,59.17975,90.234,69.519,33.815479,1
3,178.32,216.38225,199.682563,-232.12925,-194.31125,-213.971,66.2845,136.18175,111.67625,62.009729,27.503137,12.118236,263.98925,334.9855,302.928875,42.65125,122.1925,80.938813,38.81571,1
4,184.78975,222.99775,201.470938,-237.47575,-200.34225,-216.211188,93.238,141.62575,113.183688,64.391972,28.529934,11.680938,315.185,380.6615,339.94625,37.4515,112.183,73.907625,32.070813,1
5,167.1635,227.0755,199.908625,-242.2855,-183.13025,-215.509063,75.8545,127.563,101.885813,58.730168,26.163321,11.270986,319.38375,377.711,352.693563,19.0435,53.467,34.41175,35.161423,1
6,193.92125,209.61925,204.479938,-223.902,-207.64075,-218.627563,79.883,140.25925,118.115313,61.733958,26.707542,10.502294,385.664,399.38975,392.66425,71.16725,91.06475,83.178875,37.348816,1
7,176.36725,211.76725,198.144313,-227.8075,-191.28425,-213.84875,81.7625,142.60275,113.299563,68.742446,28.169583,11.589998,380.12425,451.83225,409.259563,58.301,157.519,101.989625,37.44413,1
8,137.671,218.0665,178.253313,-234.37525,-150.65925,-193.084875,132.69025,168.5545,150.9705,73.369046,27.752676,11.563632,416.55325,499.36175,446.326313,96.24,178.29575,129.7485,41.041171,1
9,121.387,158.545,146.747063,-175.82975,-138.47625,-162.615875,169.653,210.645,186.407688,68.465968,26.067466,11.399399,458.251,499.2665,484.148938,150.6345,205.005,173.541313,37.293792,1
10,147.8515,186.13275,162.347563,-201.7095,-161.79175,-178.613375,169.48225,203.34475,181.622375,68.397025,26.1105,11.591447,483.9835,512.03425,493.085313,117.50475,170.84975,139.489813,34.453162,1
11,117.0655,171.1905,142.77925,-188.32975,-132.15325,-158.221375,155.689,211.2545,180.975313,61.492127,28.361396,11.537388,485.7905,553.1965,507.391188,113.745,183.911,159.551938,39.037973,1
12,81.03025,148.60825,119.52525,-165.18575,-96.70425,-134.790063,204.73625,245.28825,224.676688,58.280802,27.056158,10.89822,500.58375,572.728,546.823563,186.67,221.045,201.385438,34.34903,1
13,105.3715,133.399,112.640625,-147.29025,-120.82525,-128.253188,183.64225,221.9475,198.76075,61.077409,25.688724,10.651624,534.6625,547.609,542.272063,157.78825,219.94575,189.691063,34.866934,1
14,80.908,121.289,105.737375,-137.74425,-98.5845,-122.650188,188.6715,241.2355,218.170063,65.531828,26.359358,11.108863,542.085,605.785,582.329375,178.932,231.9815,211.548,32.216261,1
15,77.466,122.461,95.032,-139.23375,-93.7985,-111.035125,190.063,235.62025,212.725688,70.469201,27.180999,11.477413,574.05,625.9325,600.70875,188.20925,227.344,207.825,38.504542,1
16,75.36625,109.18,93.10925,-125.3175,-90.259,-108.770938,200.34225,262.5,222.759938,69.088222,26.478335,11.720156,604.375,657.205,628.493125,182.202,241.11225,209.23425,32.36075,1
17,76.6355,109.79,91.619875,-126.97725,-93.55425,-109.350563,214.209,259.0085,237.017875,64.081906,25.193952,11.420004,639.16,696.2625,674.64375,220.46,261.401,240.906,34.182355,1
18,69.507,88.33025,79.541,-106.0545,-87.23125,-96.691875,209.3755,243.6035,227.404875,62.18297,26.552102,11.220263,653.47,718.9425,692.604375,197.46025,292.7495,254.767563,37.239295,1
19,50.73275,85.40025,69.397063,-98.73075,-67.08975,-85.0035,198.4865,258.98425,224.225,57.107358,27.766867,11.091618,664.9675,748.3375,709.020625,257.56775,344.287,295.294125,38.356577,1
20,51.17125,84.66775,73.05275,-101.97775,-66.99175,-90.216063,180.07775,224.975,212.21275,63.770779,26.466668,10.997757,680.37,735.055,717.169375,247.75525,317.40725,290.937375,34.351429,1
21,51.221,92.6275,72.143563,-108.1055,-69.238,-87.829563,183.887,214.746,197.57075,66.878513,26.322206,10.854711,698.8025,732.245,712.2825,259.033,299.5605,284.461875,35.057814,1
22,73.218,90.234,80.664125,-108.8135,-88.64725,-97.930938,163.6475,214.0135,196.356188,63.805427,26.949465,11.397136,703.955,748.4875,724.57375,256.12625,331.30125,297.430438,34.141731,1
23,73.63275,104.19925,84.478813,-123.5105,-92.11475,-102.86875,164.868,219.92175,181.829688,69.122163,26.529908,11.461878,708.055,743.705,725.86,274.8045,325.90175,304.9615,33.248263,1
24,60.98575,118.67675,79.284688,-133.1545,-77.246,-94.4885,136.7675,177.612,158.996438,62.975991,25.061658,11.782515,674.8575,752.7875,706.368125,243.09075,308.5925,271.5015,34.387597,1
25,96.167,110.669,101.104688,-125.14675,-111.84075,-115.5335,144.824,192.43175,171.423313,61.491773,25.219602,11.198458,717.825,754.275,736.908125,279.2745,341.357,306.261438,31.821749,1
26,81.22575,107.32425,93.335,-122.53425,-93.75025,-108.032375,128.97875,167.72425,145.647688,56.831233,26.073943,10.601756,706.835,761.4025,735.095625,249.12275,324.43975,284.509313,36.321337,1
27,70.825,113.64775,90.185688,-129.1505,-85.40075,-105.444313,119.48225,171.6795,143.444813,60.352624,27.339027,10.402742,722.0225,803.76,749.2375,271.045,368.3095,299.98225,37.697996,1
28,62.64625,103.8575,88.665688,-118.31075,-79.443,-103.582688,118.4815,177.9055,150.189188,64.25444,25.993261,11.341722,730.81,766.2125,744.88,267.84525,326.95575,295.624063,34.276138,1
29,76.61175,99.829,85.74225,-115.91825,-88.672,-100.01825,127.4415,165.5765,145.898563,67.361467,25.325863,10.808524,726.8025,767.16,743.09625,274.9005,348.2925,304.791313,33.952205,1
