@relation Sub1_A_32_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute class {0,1}

@data
2.807285999999999948e+00,1.641102999999999978e+00,-9.530473600000000545e+01,1.301404090000000053e+02,9.892615999999999588e+01,9.865761600000000442e+01,6.149879099999999710e+01,-8.002793099999999527e+01,3.939613899999999802e+01,-2.613491399999999842e+01,2.457315900000000042e+01,1.518865500000000068e+01,1
1.468771000000000049e+00,2.561494000000000160e+00,-4.904750129999999899e+02,-1.061592289999999963e+02,1.421059840000000065e+02,1.319738110000000120e+02,6.212200099999999736e+01,-3.837963599999999786e+01,2.266574100000000058e+01,-2.853784399999999977e+01,3.394536699999999740e+01,1.788273399999999924e+01,1
3.233900999999999915e+00,5.668028999999999762e+00,-8.245084349999999631e+02,-2.801917460000000233e+02,2.281390010000000075e+02,9.031385699999999872e+01,5.209023599999999732e+01,-4.640124699999999791e+01,4.582932399999999973e+01,-2.026034200000000141e+01,2.909723999999999933e+01,1.505764300000000055e+01,1
2.934616999999999809e+00,7.138946999999999932e+00,-9.711804220000000214e+02,-5.259607250000000249e+02,1.611870330000000138e+02,1.142212909999999937e+02,7.778619100000000230e+01,-5.692226000000000141e+01,2.563784100000000166e+01,-2.694115400000000093e+01,2.129515299999999911e+01,1.233652499999999996e+01,1
2.265438000000000063e+00,3.943449999999999900e+00,-4.417706049999999891e+02,-3.300180169999999862e+02,4.009334700000000140e+01,6.012014899999999784e+01,5.032243199999999916e+01,-2.848473399999999955e+01,2.900284399999999962e+01,-1.011051600000000050e+01,1.717991599999999863e+01,8.625343000000000870e+00,1
2.753353999999999857e+00,6.442093999999999987e+00,5.238505280000000539e+02,8.642988739999999552e+02,1.285563249999999869e+02,6.523371899999999357e+01,3.181370599999999982e+01,3.047998999999999903e+00,1.360261999999999993e+01,-1.181848399999999977e+01,2.082220200000000077e+01,8.625557999999999836e+00,1
1.576022000000000034e+00,2.138323999999999891e+00,1.029177349999999933e+02,5.958767779999999448e+02,1.909100459999999941e+02,6.816610599999999920e+01,3.693441899999999833e+01,-2.901725199999999916e+01,2.364592899999999887e+01,-8.587077999999999989e+00,2.413720199999999849e+01,9.938625000000000043e+00,1
1.306861999999999968e+00,3.602434999999999832e+00,-4.896634900000000101e+01,2.752190610000000106e+02,1.159637050000000045e+02,7.223570300000000088e+01,5.436185100000000148e+01,-2.965278599999999898e+01,2.225790999999999897e+01,-2.644653999999999883e+01,2.285519999999999996e+01,1.450758800000000015e+01,1
2.544172000000000100e+00,3.626660999999999913e+00,2.650874299999999906e+01,2.446319399999999860e+02,9.310330600000000345e+01,7.254339699999999880e+01,4.536741899999999816e+01,-2.697329500000000024e+01,2.639479400000000098e+01,-1.856761099999999942e+01,3.396099600000000152e+01,1.216679599999999972e+01,1
2.241121000000000141e+00,2.505011999999999794e+00,-1.279806209999999993e+02,1.333374100000000055e+02,9.477735300000000507e+01,7.380702300000000093e+01,7.816492399999999918e+01,-5.801662999999999926e+01,2.869258800000000065e+01,-3.453009200000000334e+01,2.800566500000000048e+01,1.301823000000000086e+01,1
2.595981000000000094e+00,3.792371000000000159e+00,-1.838854680000000030e+02,1.802413699999999963e+01,8.795047300000000234e+01,8.219685499999999934e+01,7.700756199999999296e+01,-6.218013599999999741e+01,3.588573199999999730e+01,-2.848259300000000138e+01,3.125464399999999898e+01,1.369595400000000041e+01,1
1.778196000000000110e+00,3.909724000000000199e+00,7.001043599999999856e+01,2.085799849999999935e+02,5.467499300000000062e+01,5.414206399999999775e+01,4.563164700000000096e+01,-7.725148799999999483e+01,3.740924600000000311e+01,-1.941284299999999874e+01,2.064977400000000074e+01,1.097925500000000021e+01,1
2.412589000000000095e+00,4.757628000000000412e+00,-4.969372400000000312e+01,3.309698589999999854e+02,1.610368269999999882e+02,2.293438439999999900e+02,1.399436599999999942e+02,-1.035650749999999931e+02,5.291323599999999772e+01,-4.787946900000000028e+01,4.405956199999999967e+01,2.844690200000000146e+01,1
1.758056000000000063e+00,1.804681999999999897e+00,1.046466659999999962e+02,3.272426570000000083e+02,9.410858799999999746e+01,2.638144700000000142e+01,1.776064500000000024e+01,-2.100838800000000006e+01,1.308278499999999944e+01,-1.942791400000000124e+01,1.748837999999999937e+01,1.145735999999999954e+01,1
3.130342999999999876e+00,2.626208999999999794e+00,2.916568730000000187e+02,3.542986859999999751e+02,2.651465100000000064e+01,4.724443699999999779e+01,4.660656699999999830e+01,-4.627134399999999914e+01,2.482888300000000115e+01,-3.088264600000000115e+01,1.898436999999999841e+01,1.386025500000000044e+01,1
2.557684000000000069e+00,5.546053999999999817e+00,-8.312056300000000419e+01,2.874126620000000116e+02,1.353450689999999952e+02,8.389846099999999751e+01,3.898757400000000217e+01,-4.023632400000000331e+01,2.501198300000000074e+01,-1.018170600000000015e+01,2.221697699999999998e+01,8.968880000000000408e+00,1
3.583722999999999992e+00,4.280752999999999808e+00,-3.340233359999999720e+02,-4.592710300000000245e+01,1.220695809999999994e+02,6.166172300000000206e+01,3.468117900000000020e+01,-9.341177000000000419e+01,4.050900000000000034e+01,-3.711838699999999847e+01,5.889708399999999955e+01,2.105720799999999926e+01,1
2.686913000000000107e+00,1.667523000000000089e+00,-3.126625349999999912e+02,2.613413399999999953e+01,1.280089830000000006e+02,7.173028800000000160e+01,5.184526499999999771e+01,-5.487034799999999990e+01,4.045279800000000137e+01,-2.325192699999999846e+01,3.059999900000000039e+01,1.374938900000000075e+01,1
1.180763100000000065e+01,1.384287400000000012e+01,-8.734206779999999526e+02,-1.544679610000000025e+02,2.706587819999999738e+02,1.017124740000000003e+02,3.334676499999999777e+01,-5.102369699999999852e+01,3.232719000000000165e+01,-2.432300000000000040e+01,3.559741499999999803e+01,1.520026000000000010e+01,1
6.868870000000000253e+00,2.164345799999999898e+01,-5.538674180000000433e+02,-2.216586379999999963e+02,1.329019869999999912e+02,3.872637999999999803e+00,3.518417399999999873e+01,-2.884158499999999847e+01,1.341288800000000059e+01,-2.120160100000000014e+01,1.206347599999999964e+01,9.855496000000000478e+00,1
5.382156200000000013e+01,8.554034799999999450e+01,-3.150021690999999919e+03,-8.963646820000000162e+02,8.916207839999999578e+02,6.194740279999999757e+02,2.726497370000000160e+02,-4.304513200000000239e+01,6.460110799999999642e+01,-2.870454399999999850e+01,1.240969340000000045e+02,4.446557599999999866e+01,1
1.887866000000000044e+00,4.067239999999999966e+00,1.230996380999999928e+03,1.381730976000000055e+03,5.933868799999999766e+01,-6.406493000000000215e+00,1.200544099999999936e+01,-2.138961300000000065e+01,1.030655299999999919e+01,-1.513298400000000044e+01,1.550697399999999959e+01,6.774248000000000047e+00,1
2.856948000000000043e+00,2.927445000000000075e+00,1.256080097999999907e+03,1.424655801999999994e+03,6.598773300000000575e+01,6.857462999999999909e+01,3.624133700000000147e+01,-2.030992099999999922e+01,1.543477200000000060e+01,-9.613255999999999801e+00,1.810821599999999876e+01,6.692604000000000219e+00,1
1.570594000000000046e+00,5.513700000000000045e+00,1.133454596000000038e+03,1.244666222000000062e+03,4.052384399999999687e+01,3.174358799999999903e+01,2.191602200000000167e+01,-2.698780299999999954e+01,1.473230500000000021e+01,-8.505549999999999500e+00,1.058751900000000035e+01,5.122628999999999877e+00,1
1.670681000000000083e+00,3.010419999999999874e+00,8.467327800000000479e+02,1.110614248999999973e+03,1.138829479999999990e+02,7.457631899999999803e+01,2.504461500000000029e+01,-1.710712200000000038e+01,1.466147499999999937e+01,-1.406553800000000010e+01,2.078014399999999995e+01,1.007849200000000067e+01,1
3.840317999999999898e+00,4.116146999999999778e+00,8.506000330000000531e+02,1.086808796999999913e+03,1.023255010000000027e+02,8.770553099999999347e+01,8.056565799999999911e+01,-8.331291099999999972e+01,3.999877699999999692e+01,-2.248199400000000026e+01,1.786917000000000044e+01,1.429885600000000068e+01,1
6.391815000000000246e+00,7.003267000000000131e+00,9.286890260000000126e+02,1.228121851000000106e+03,1.226400019999999955e+02,3.349193000000000087e+00,1.827231000000000094e+01,-2.900881000000000043e+01,1.672342599999999990e+01,-1.855307699999999826e+01,1.129533299999999940e+01,9.662235000000000795e+00,1
3.012532000000000210e+00,3.853695999999999788e+00,9.480684119999999666e+02,1.130368877000000111e+03,6.763526000000000238e+01,6.364811399999999963e+01,4.831542100000000062e+01,-2.834748099999999837e+01,2.621412300000000073e+01,-1.238574700000000028e+01,2.029577799999999854e+01,8.722153000000000489e+00,1
2.566676999999999875e+00,5.525845999999999592e+00,6.710178590000000440e+02,8.829062480000000050e+02,7.907446500000000356e+01,4.477290399999999693e+01,4.398712799999999845e+01,-3.103611300000000028e+01,1.828236700000000070e+01,-1.874593199999999982e+01,1.245229100000000066e+01,7.674902999999999587e+00,1
2.934031000000000056e+00,5.734437999999999924e+00,8.700617959999999584e+02,1.020964039999999954e+03,5.697560899999999862e+01,3.066446399999999883e+01,1.654213999999999984e+01,-1.053505700000000012e+01,1.701278200000000140e+01,-1.852732900000000171e+01,2.071762000000000015e+01,9.211321999999999122e+00,1
1.321253199999999950e+01,2.731367300000000142e+01,8.844379529999999932e+02,1.707907146999999895e+03,3.123548640000000205e+02,2.644097000000000008e+01,1.018680470000000042e+02,-7.226468099999999595e+01,2.810675200000000018e+01,-3.671275200000000183e+01,7.170583999999999847e+00,1.155119000000000007e+01,1
2.508383399999999952e+01,6.882249400000000605e+01,2.409379950000000008e+03,4.433159641999999621e+03,8.203354910000000473e+02,3.680798899999999918e+01,1.747138300000000015e+02,-1.869785640000000058e+02,5.880620400000000103e+01,-1.102265179999999987e+02,4.433868999999999971e+01,3.319603599999999943e+01,1
2.570691000000000059e+00,6.840506000000000419e+00,3.169346340999999939e+03,4.060923377000000073e+03,3.186831999999999994e+02,2.269715930000000128e+02,1.020291150000000044e+02,-5.252446199999999976e+01,4.544714700000000107e+01,-2.929786700000000010e+01,6.965667999999999438e+01,2.075947100000000134e+01,1
2.957508999999999943e+00,4.223220999999999670e+00,2.157320835999999872e+03,2.610469888999999966e+03,1.668178399999999897e+02,1.280276700000000005e+02,9.542517800000000250e+01,-3.339188699999999699e+01,2.177833800000000153e+01,-2.293395100000000042e+01,2.685176399999999930e+01,1.467614200000000046e+01,1
2.480843000000000131e+00,3.558152999999999899e+00,1.134749317000000019e+03,2.383542634999999791e+03,5.022133099999999786e+02,1.470381920000000093e+02,7.826492600000000266e+01,-5.596086999999999989e+01,6.672859200000000612e+01,-2.335493699999999961e+01,4.633689499999999839e+01,1.796001800000000159e+01,1
2.501675999999999789e+00,3.871591000000000005e+00,4.702792919999999981e+02,1.038184342000000015e+03,2.170810309999999959e+02,1.186794119999999992e+02,4.300157099999999843e+01,-2.950531499999999951e+01,4.150122600000000261e+01,-3.860571199999999692e+01,5.866665199999999913e+01,2.710555499999999896e+01,1
2.371053999999999995e+00,4.116178999999999810e+00,-3.496807400000000143e+01,2.424288180000000068e+02,1.077458699999999965e+02,1.058847399999999936e+02,8.462280199999999297e+01,-6.412773599999999874e+01,5.249937599999999804e+01,-4.126529899999999884e+01,5.674771599999999694e+01,2.178501899999999836e+01,1
2.221938999999999886e+00,3.431064000000000114e+00,-3.347002801999999974e+03,-2.836386474999999791e+03,1.936825570000000027e+02,2.147660700000000134e+01,4.095644800000000174e+01,-3.588409399999999749e+01,2.111951300000000131e+01,-2.255784399999999934e+01,1.776573000000000135e+01,1.113496699999999962e+01,1
2.724222999999999839e+00,5.540402000000000271e+00,-2.980589950000000044e+03,-2.734587062999999944e+03,9.986563800000000413e+01,6.274205400000000310e+01,6.179143700000000194e+01,-4.675688399999999945e+01,3.274788900000000069e+01,-2.019469799999999893e+01,3.179305599999999998e+01,1.222990199999999916e+01,1
3.743576000000000015e+00,4.109935000000000116e+00,-2.679530327999999827e+03,-2.444900886999999784e+03,8.674192600000000652e+01,5.779169999999999696e+00,1.628546800000000161e+01,-2.433778099999999966e+01,1.015377100000000077e+01,-1.379149600000000042e+01,1.253413100000000036e+01,7.864872000000000085e+00,1
